tweet_author,overall_polarity
Targeted Oncology,negative
SpecialtyPTimes,negative
Targeted Oncology,negative
Journal of the @NCCN,negative
How Much Do Make?,negative
Lymphoma Papers,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
AstrologyNewsNetwork,negative
Leukemia,negative
Journal of the @NCCN,negative
MyPathologyReport.ca,negative
MyPathologyReport.ca,positive
MyPathologyReport.ca,negative
MyPathologyReport.ca,negative
MyPathologyReport.ca,negative
MyPathologyReport.ca,negative
Targeted Oncology,negative
MyPathologyReport.ca,negative
MyPathologyReport.ca,negative
MyPathologyReport.ca,negative
MyPathologyReport.ca,negative
"Raul Cordoba, MD, PhD",negative
"Raul Cordoba, MD, PhD",negative
MDEdge,negative
Patient Empowerment Network,negative
د. عبدالله بن علي السرحاني Dr AL Serhani,negative
د. عبدالله بن علي السرحاني Dr AL Serhani,negative
"Cowan, Liebowitz",negative
Biotech2050,negative
@MyelomaTeacher - Cindy Chmielewski,negative
JCR,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
BSH - Haematology,negative
Thomas Eliot Lew,positive
Medivizor,negative
Medivizor,negative
"Marwan Shinawi, M.D.",positive
Blood Journal,negative
Jeff Neurman,negative
Brave Is Now®,negative
CONQUER the patient voice,negative
Fragments,negative
(bio)technerd,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Annals of Laboratory Medicine,negative
Toby Eyre,negative
Early Years at LSC (#FE #VocEd #EYFS) 🙋‍♀️,positive
How Much Do Make?,negative
Barry Shrier,negative
Dana-Farber,positive
Kathleen D. Hoffman,negative
SpecialtyPTimes,negative
Rajesh Sharma,negative
Priti Sharma,negative
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
MAISA,negative
ecancer,negative
Paperbirds_Hematology,negative
Medivizor,negative
Medical Vision,negative
Vindico Medical Education,negative
OncLive SOSS,negative
The ASCO Post,negative
MLT|جُوري الحربي🔬🧪,negative
Nita Sonwane,positive
Patient Empowerment Network,negative
TradeHawk,negative
"Cowan, Liebowitz",negative
Medivizor,negative
MerMer Goodburn 🌈🇪🇺🩸,negative
Cancer Medicine,negative
Adam Mead,negative
hemomeeting,negative
Paperbirds_Hematology,negative
Garbiñe Lizeaga,negative
OncLive SOSS,negative
Fabrice Leclerc,negative
SeqComplete,negative
CompBiolPapers,negative
"chadi nabhan MD, MBA, FACP",positive
Dr Effie Kostareli,positive
Medivizor,negative
JTH,negative
CURE Magazine,positive
Oncology Publishers Feed,negative
CLL-seq,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
M3 India Oncology,negative
OncLive.com,negative
Captain Syn,negative
@linfopedia,negative
Richard Rosenquist Brandell,negative
The EY Tagteam,positive
SeqComplete,negative
Lymphoma Hub,negative
Lymphoma Hub,negative
Lymphoma Hub,negative
Lymphoma Hub,negative
Lymphoma Hub,negative
VJHemOnc,negative
CLL Advocates Network,negative
CLL Advocates Network,negative
Lymphoma Hub,negative
VJHemOnc,negative
VJHemOnc,negative
Michael Rynne,positive
Lymphoma Hub,negative
CLL Ireland,negative
ASH Clinical News,negative
Doctors*Overseas,negative
CLL Ireland,negative
Lymphoma Hub,negative
Lymphoma Hub,negative
CLL Advocates Network,negative
CLL Advocates Network,negative
VJHemOnc,positive
Medivizor,negative
VJHemOnc,negative
CLL Advocates Network,positive
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,positive
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
VJHemOnc,negative
VJHemOnc,negative
HARMONY Alliance,negative
Michael Rynne,negative
Lymphoma Papers,negative
Leukemia,negative
Guillermo Ruiz-Argüelles,negative
Nancy Zurawski,negative
Medivizor,negative
Health Content Collective (HCC),negative
Lymphoma Hub,negative
Journal of the @NCCN,negative
Lymphoma Hub,negative
Petr Taus,positive
"Habib M. Razavi, MD, PHD, FRCPC",negative
Biologics by McKesson,negative
Brave Is Now®,negative
Adam Kittai,negative
Lymphoma Hub,negative
Oncology Publishers Feed,negative
Targeted Oncology,positive
Paperbirds_Hematology,negative
CLLSA,positive
Doctors*Overseas,negative
Garbiñe Lizeaga,negative
Medivizor,negative
Journal of the @NCCN,negative
"Raul Cordoba, MD, PhD",negative
"Raul Cordoba, MD, PhD",negative
MedPage Oncology,negative
Medivizor,negative
Targeted Oncology,negative
SwingTradeBot UK,negative
Medivizor,negative
VTDigger,negative
Nick,negative
MerMer Goodburn 🌈🇪🇺🩸,positive
Lymphoma Hub,negative
Maria Marta P.M.🍀,negative
Benlazar S.M Aminé,negative
Manual Of Medicine,negative
Lymphoma Hub,negative
Patient Power,negative
Lymphoma Hub,negative
CLL Society Inc.,negative
Medivizor,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
MerMer Goodburn 🌈🇪🇺🩸,negative
Leukemia,negative
Kathleen D. Hoffman,negative
Medivizor,negative
CURE Magazine,negative
Cure Cancer Now,negative
Patient Power,negative
CLL Ireland,positive
PeerView,positive
ACR Radiology,negative
CLL Society Inc.,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Jerry Lee,negative
Hetero Healthcare,negative
Online Pharmacy,negative
SpecialtyPTimes,negative
"Raul Cordoba, MD, PhD",positive
MJH Life Sciences,negative
PeerView,positive
PeerView,positive
Hematology,negative
TrialBulletin,negative
CureHuntr,negative
Paperbirds_Hematology,negative
GenQA (Genomics Quality Assessment),positive
Market Research,negative
@ScottWaudbyHaemResLeics,negative
Swapna Supekar,negative
Lymphoma Australia,negative
Blood Journal,negative
Cancer Support Community,negative
Cancer Support Community,negative
Cancer Support Community,negative
Cancer Support Community,negative
Cancer Support Community,negative
"Cowan, Liebowitz",negative
Toby Eyre,negative
PeerView,negative
Pacientes LMC,negative
MerMer Goodburn 🌈🇪🇺🩸,negative
Paperbirds_Hematology,negative
Medivizor,negative
TAP Clinical Trial Network,positive
OncLive.com,positive
Jennifer Smith,negative
@CurlieCutiePie,positive
Patient Power,negative
The Tisch Cancer Institute,negative
CLL Advocates Network,negative
CLL Ireland,positive
Medscape Education,negative
Toby Eyre,positive
VJHemOnc,negative
Toby Eyre,negative
Toby Eyre,negative
Medivizor,negative
Lymphoma Papers,negative
Lymphoma Papers,negative
Dr. Luis Villela,negative
Kompetenznetz Maligne Lymphome e.V.,negative
Author Curator,negative
Michele Nadeem-Baker,negative
Meldpunt Klachten Siliconen,negative
Suomi Lacrosse,negative
Seema Ali Bhat,negative
Medivizor,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
EurekaMag,negative
Thomas Eliot Lew,positive
K Pavithran,negative
Targeted Oncology,negative
CLL Advocates Network,negative
CLL Ireland,positive
Cure Cancer Now,negative
Targeted Oncology,negative
George,positive
Tong,negative
LYMPHOMA & MYELOMA CONNECT,negative
Patient Power,negative
Hematology Advisor,negative
medtoday Germany,negative
Mraz Lab,positive
Janssen EMEA,positive
Kathleen D. Hoffman,negative
Joe,positive
Janssen Global,negative
Toby Eyre,negative
Paperbirds_Hematology,positive
Paperbirds_Hematology,negative
CLLSA,negative
MasdelMedio,negative
PRpro.be,negative
HemOnc_ACCP,negative
Prometheus’ Trainee,negative
Targeted Oncology,positive
Medivizor,negative
PeerView,negative
SwingTradeBot UK,negative
"Raul Cordoba, MD, PhD",negative
Nature Watcher,negative
Alessandro Donada,positive
AIM Alerts!,negative
RedMedEd,negative
@linfopedia,negative
@linfopedia,negative
ClinPulmonaryMed,negative
Lymphoma Papers,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Targeted Oncology,positive
EurekaMag,negative
Alicia Enrico,negative
Deborah Reynolds,positive
Adam Kittai,positive
Targeted Oncology,negative
Medivizor,negative
Clinical Research Forum,positive
RedMedEd,negative
Garbiñe Lizeaga,negative
AbbVie UK,positive
James Kerwin,negative
BiopharmIQ by Amp,negative
CURE Magazine,positive
Prof. Dr. H. İsmail Sarı,negative
"Jill Lykon, PharmD, BCOP",negative
AnCan,positive
Oncology Times,negative
"Cowan, Liebowitz",positive
Cureus,negative
CCO Education,positive
CURE Magazine,negative
The Indian Pharma,negative
CLL-seq,negative
CompBiolPapers,negative
Medivizor,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,positive
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Leukaemia Care,negative
Pearl David,negative
Australian Adventure,negative
China Science,negative
Medivizor,negative
Clinical Lab Products Magazine,negative
@linfopedia,positive
Flow Paradigm,negative
PeerView,negative
Dr. Nancy Perlman🆘️,negative
Hematology,negative
CLL Ireland,positive
Fabrice Leclerc,positive
Kathleen D. Hoffman,negative
INDoximity 🇮🇳,negative
International Natural Product Sciences Taskforce,negative
Medivizor,negative
EurekaMag,negative
Bennia Johnson,negative
WheelieDealer,positive
"Marta Garcia-Recio, MD",negative
EurekaMag,negative
FirstHealth,negative
Paperbirds_Hematology,negative
Patricia S Limbacher,negative
Targeted Oncology,positive
RYΛNN LYNN WΞLLΞR 🔥,negative
CLL Ireland,positive
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
UK Chronic Lymphocytic Leukaemia (CLL) Forum,negative
Medivizor,negative
Medivizor,negative
Lymphoma Papers,negative
TrialBulletin,negative
Oncology Times,negative
CURE Magazine,negative
Bryjalab,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Kompetenznetz Maligne Lymphome e.V.,negative
Paperbirds_Hematology,negative
Katrina Sondermann,positive
SwingTradeBot UK,negative
Oncology Times,negative
Patient Power,positive
Patient Power,negative
Wellcome-home,negative
Lymphoma Papers,negative
Lymphoma Papers,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
EurekaMag,negative
Insights Veterinary,negative
AplusA World,positive
DennisPartners,negative
"Joslyn Rudoni, PharmD, BCOP",positive
Medivizor,negative
Kathleen D. Hoffman,negative
"Jeff Baron, PharmD, BCOP",negative
Medivizor,negative
Medivizor,negative
Patient Power,negative
GEDEFO,negative
Patient Power,negative
Blood Cancer Uncensored,positive
Izaskun Zeberio,negative
Medivizor,negative
Medscape Education,negative
Crwe World,negative
Quant Data,negative
Stock Titan,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
VJHemOnc,negative
🔥,negative
LLSCanada,negative
CCO Education,positive
Community Legacy League,positive
Medivizor,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Leukemia,negative
OncLive SOSS,negative
Blood Cancer Uncensored,negative
IQVIA,positive
GMO Free USA,negative
シシィ＠白血病（CML）,negative
1stOncology,negative
CLL Advocates Network,negative
Oncology Times,negative
Jake Soumerai,positive
LiteratureFeed,negative
Lymphoma Hub,positive
StressMarq,negative
Atanas G. Atanasov,negative
Klaus Okkenhaug,positive
Taylor Lab UM,negative
Dr.Abuobeida,negative
Toby Eyre,positive
Lymphoma Hub,negative
Taylor Lab UM,negative
CLL-seq,negative
Lymphoma Hub,negative
Lymphoma Hub,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Mariam Alasfour,negative
Taylor Lab UM,positive
Lymphoma Hub,negative
Managed Healthcare,positive
"Amber Koehler, PA-C",negative
SwingTradeBot UK,negative
SwingTradeBot UK,negative
EurekaMag,negative
Lymphoma Research Foundation,positive
₿ΞNTWAN,negative
Fuzzy,positive
Leukaemia Care,negative
Biosimilar Today iMagazine,negative
Patient Power,negative
Maria Leticia Solari,negative
Pharmacutical Daily,negative
Pharmacutical Daily,negative
Lymphoma Hub,negative
WCM Lymphoma,negative
"OTC Dynamics, Inc.",negative
Stock Titan,negative
Crwe World,negative
Biotech2050,negative
dough,negative
Jake,negative
The Stock Sniper,negative
TraderZ,negative
Amp Trades,negative
OncLive.com,negative
Paperbirds_Hematology,negative
gilbert c faure,negative
Leukemia,positive
@COVID_Evidence,negative
ImmunologyPapers,negative
Wnt publications,negative
Journal of the @NCCN,negative
Medivizor,negative
Medivizor,negative
"Amber Koehler, PA-C",negative
Medivizor,negative
Kathleen D. Hoffman,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
MerMer Goodburn 🌈🇪🇺🩸,negative
Krebsgesellschaft,negative
AbbVie UK,positive
Francesco Bertoni,negative
MerMer Goodburn 🌈🇪🇺🩸,negative
manuel macia heras,negative
Blood Journal,negative
Blood Journal,negative
VJHemOnc,negative
Benlazar S.M Aminé,negative
Great Debates in Hematologic Malignancies,negative
Nucleosome papers 📚,negative
ℋℯ𝓁ℯℯ𝓃 𝒮𝓉𝓊𝒾𝒻𝓏𝒶𝓃𝒹,negative
Paperbirds_Hematology,negative
CKJ,negative
WikiPathways,negative
PER,positive
SwingTradeBot UK,negative
Ryan Smith,positive
Bubble Boy Finance,negative
Medivizor,negative
AbbVie UK,positive
Lymphoma Papers,negative
Paperbirds_Hematology,negative
Healing Touristry,negative
Medivizor,negative
fendy wahab,positive
PER,positive
Medivizor,negative
filippo masini,negative
Kyle J. Norton,negative
PharmaFactz,positive
Kathleen D. Hoffman,negative
CLL Ireland,negative
Toby Eyre,positive
Toby Eyre,negative
Paperbirds_Hematology,negative
Anthony Mato,negative
Targeted Oncology,negative
CURE Magazine,negative
EurekaMag,negative
Tina Price-Johnson 💙,positive
Michele Nadeem-Baker,negative
Toby Eyre,negative
Patient Power,negative
Paperbirds_Hematology,negative
BSH - Haematology,negative
MitochondriaNews,negative
Blood Advances,negative
CLL-seq,negative
Medivizor,negative
Patient Power,negative
Fish Chromosomes,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
"Dr T. Comeau , MD",negative
medicalpress.pl,negative
Taylor Lab UM,negative
MerMer Goodburn 🌈🇪🇺🩸,negative
Taylor Lab UM,positive
"Matthew Davids, MD, MMSc",positive
"Raul Cordoba, MD, PhD",negative
Blood Journal,positive
Aurileus FC,negative
Hugo Barona,positive
"Chris Cogbill, MD",negative
Patient Power,negative
RedMedEd,negative
CLLSA,positive
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Medivizor,negative
AbbVie UK,positive
CauseISaidSo 🥃💄🦇🌹👠🏳️‍🌈,negative
Oncologiavet,negative
Toby Eyre,positive
Toby Eyre,negative
Research To Practice,positive
Benlazar S.M Aminé,negative
The Leukemia & Lymphoma Society,positive
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
AIM Alerts!,negative
Proactive,positive
Calisto Portfolio,positive
Ruth Gemmell,positive
Proactive,positive
WheelieDealer,negative
Share Prophets,positive
AIM Alerts!,negative
ingentium_COVID,negative
Dog Cancer Help,negative
ClinOwl Haematology,negative
Frontiers in Cell and Developmental Biology,negative
"Amber Koehler, PA-C",positive
Yuval Avnir,negative
Toby Eyre,negative
AbbVie UK,positive
Targeted Oncology,negative
healthbook,positive
Christie Library,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Royal Society Publishing,negative
Kathleen D. Hoffman,negative
Medivizor,negative
Targeted Oncology,negative
SwingTradeBot UK,negative
Reed Rowell,positive
ASGCT,negative
GenQA (Genomics Quality Assessment),negative
Anthony Mato,negative
Patient Power,negative
Nationale Zorggids,negative
Jan Rynne,negative
Tina Price-Johnson 💙,positive
OncLive SOSS,negative
touchONCOLOGY,negative
Paperbirds_Hematology,negative
"Mazyar Shadman, MD MPH",positive
Cancer Papers,negative
Targeted Oncology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
UVA Science Pubs,negative
ASCO Publications,positive
Patient Power,positive
Medivizor,negative
OncLive SOSS,negative
Hematology Cancer Consortium,positive
Lymphoma Papers,negative
Seema Ali Bhat,negative
GMO Free USA,negative
Patient Empowerment Network,negative
Oncology Learning Network,negative
Royal Society Publishing,negative
Mahmoud Aljurf,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Kathleen D. Hoffman,negative
CLLSA,negative
Research To Practice,positive
Early Years at LSC (#FE #VocEd #EYFS) 🙋‍♀️,positive
Early Years at LSC (#FE #VocEd #EYFS) 🙋‍♀️,negative
Kristina Kirschner,negative
AnCan,negative
Oncology CE,positive
Arkana Laboratories,negative
Joe Fournet,negative
"Cowan, Liebowitz",negative
"Raul Cordoba, MD, PhD",positive
ERN EuroBloodNet,negative
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
Medivizor,negative
Britta Velten,positive
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
EurekaMag,negative
Wolfgang Huber,negative
OncLive SOSS,negative
SY Investing,negative
AnCan,positive
Biotech2050,negative
SwingTradeBot UK,negative
Exergen,negative
Cancer Health,negative
GRACE,negative
"Mike Thompson, MD, PhD, FASCO",negative
Advances in Therapy,negative
ERN EuroBloodNet,negative
Lymphoma Papers,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,positive
Paperbirds_Hematology,negative
OncLive SOSS,negative
Paperbirds_Hematology,negative
BibliotecaHUVH. ICS,negative
AnCan,positive
JointHealth,negative
Schieke Lab,negative
"Steven Artandi, MD, PhD",positive
Concepcion Boque,negative
PER,negative
RedMedEd,positive
MDMercy Media,positive
"Cowan, Liebowitz",negative
Christy2x,negative
Patient Power,negative
Cancer Health,negative
Michael Boutros,negative
Biblioteca HUCA,negative
Medscape Education,negative
Lymphoma Papers,negative
Paperbirds_Hematology,negative
Lymphoma Hub,positive
ERN EuroBloodNet,negative
Targeted Oncology,negative
NK cell Biology,negative
Journal of the @NCCN,negative
Ophthopedia,negative
UW-Madison Nutri Sci,positive
Patient Power,positive
Blood Journal,negative
Blood Journal,negative
Molecular Biology(MEMBS) مجتمع البيولوجيا الجزيئية,negative
VJHemOnc,negative
Journal of the @NCCN,negative
Patient Power,negative
Ryan Smith,positive
Journal of the @NCCN,negative
Patient Power,negative
Radon Done,negative
RedMedEd,positive
Targeted Oncology,negative
Lymphoma Papers,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Cancer Health,negative
L,positive
Targeted Oncology,negative
OncLive.com,negative
Kathleen D. Hoffman,negative
OncLive.com,negative
Reed Rowell,negative
NK papers,negative
CLL-seq,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,positive
Paperbirds_Hematology,positive
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Biotech2050,negative
Patient Power,negative
The ASCO Post,negative
Interesting Weird Facts,negative
NurseGroups,negative
datahack,negative
PharmaFactz,positive
Targeted Oncology,negative
"Amber Koehler, PA-C",negative
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
Journal of Clinical Pathways,negative
AbbVie Canada,negative
Mike E マイケル😷🏳️‍🌈 #HR1 #ForThePeople,negative
CURE Magazine,negative
TrialSite News,negative
EurekaMag,negative
Patient Power,positive
Blood Journal,negative
GMWatch,negative
Adam Kittai,negative
datahack,negative
ClinicalTrialsData,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
ESH (Haematology),negative
OncLive.com,negative
Leukemia,negative
ERN EuroBloodNet,negative
Toby Eyre,negative
Medivizor,negative
Faheema Hasan,negative
dan.schell@lifescienceleader.com,negative
"Raul Cordoba, MD, PhD",negative
"Raul Cordoba, MD, PhD",negative
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
Benlazar S.M Aminé,negative
CLL Advocates Network,positive
AbbVie Canada,negative
"Mike Thompson, MD, PhD, FASCO",negative
EurekaMag,negative
UK Chronic Lymphocytic Leukaemia (CLL) Forum,negative
Patient Power,negative
Fish Chromosomes,negative
Paperbirds_Hematology,negative
Leukaemia Care,negative
Leukaemia Care,positive
MDSUK PatientSupport 💙,negative
John Austin,negative
CLL_Fighters🎗,negative
GO GREEN,negative
CURE Magazine,negative
CLL Ireland,negative
AbbVie Canada,negative
Asembia,negative
Targeted Oncology,negative
RD360,negative
Targeted Oncology,negative
Leukaemia Care,negative
ur-trading,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Krishan Maggon,negative
Biotech2050,positive
Extinction Crisis,negative
CURE Magazine,negative
Leukaemia Care,negative
CLEVER Network,positive
DDNews Online,negative
National Comprehensive Cancer Network (NCCN),negative
EurekaMag,negative
PSK2329 - JHC,positive
Quant Data,positive
Alicia Bell IFBB Pro,negative
Patient Power,positive
"Redington, Inc.",positive
MAISA,positive
Molecular Oncology,negative
영지,negative
Amy C. Cavers,positive
Amy C. Cavers,positive
SY Investing,positive
AbbVie Canada,negative
Asembia,positive
Biotech2050,negative
Vegastrader66,negative
Behavioral Finance,positive
J Cancer Sci Ther,negative
Scott Spencer,positive
Drive for Show,positive
PSK2329 - JHC,negative
Quant Data,negative
Matt Fanning,negative
Palmer,positive
Quant Data,negative
Jake,positive
Day Trading Alerts,positive
Swing Trading,positive
Crwe World,negative
dough,positive
Quant Data,negative
Michelle Solly,positive
Michel Doepke,positive
Bio Stocks™,positive
Amp Trades,positive
TradeXchange,positive
Lymphoma Papers,negative
Paperbirds_Hematology,negative
Helen Parry 💙,negative
Shankara Paneesha,negative
Abhilash,positive
AIM Alerts!,negative
fadra tedesco,negative
Syed Abutalib,negative
Ferran Fece de la Cruz,negative
Cancer Papers,negative
Nathan Donley,negative
Taylor Lab UM,positive
Biotexcel,negative
Lymphoma Hub,negative
CURE Magazine,positive
Patient Power,negative
ASCO Publications,negative
CrozrX,negative
Toby Eyre,negative
Thyroid4patients,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
StressMarq,negative
Mark Noblet,positive
OncLive SOSS,negative
Cancer Papers,negative
😘oHLittless 😘,negative
Kathleen D. Hoffman,negative
satirewriter,negative
Deyan Yosifov,negative
Deyan Yosifov,negative
DNAMethylationPapers,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
OncLive SOSS,negative
Medscape Education,positive
Medscape Education,negative
Medscape Education,negative
Medscape Education,negative
Medscape Education,negative
Medscape Education,negative
Medscape Education,negative
Medscape Education,negative
Medscape Education,negative
Medscape Education,negative
Medscape Education,negative
Medscape Education,negative
Medscape Education,negative
Medscape Education,negative
CellworksLife,negative
"COTA, Inc.",negative
Centro Las Lomas,negative
Toby Eyre,positive
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
OncLive SOSS,negative
1stOncology,negative
Leukemia,negative
"Mazyar Shadman, MD MPH",positive
"Sara Javidiparsijani, MD, FCAP",positive
SwingTradeBot UK,negative
CURE Magazine,positive
"Cowan, Liebowitz",positive
Anna Kabanova,positive
Pharma News,negative
Leukemia,negative
Scientific Data,negative
The Curable Recipes,negative
NCI CTEP Clinical Research,negative
EurekaMag,negative
RedMedEd,positive
CLLSA,positive
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
datahack,negative
Jean Zhao,negative
OncLive SOSS,negative
learn coronavirus Life,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Ariez BV,negative
Biotech2050,negative
NewExpressNews,negative
ClinOwl Haematology,negative
ClinOwl Haematology,negative
AJCP,negative
Patient Power,positive
Teresa Martin,negative
Teresa Martin,negative
Kathleen D. Hoffman,negative
Paperbirds_Hematology,negative
Kompetenznetz Maligne Lymphome e.V.,negative
"Health & Wellness Center, Nagaland",negative
"Dr. Paul DeSantis, PharmD",positive
OncLive SOSS,negative
Targeted Oncology,negative
Sehar Kanji.,positive
OncLive SOSS,negative
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
Medivizor,negative
Michael Rynne,positive
CLL Society Inc.,positive
MD Anderson Cancer Center,positive
Lankenau Institute,negative
E Lambrechts,negative
Taylor Lab UM,negative
Lymphoma Papers,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Seema Ali Bhat,negative
Oncology Learning Network,negative
"Cowan, Liebowitz",negative
Ian Mackey Parnigoni,negative
Patient Power,negative
The Tisch Cancer Institute,negative
Medivizor,negative
Medivizor,negative
CLL Society Inc.,negative
Targeted Oncology,negative
Cancer Papers,negative
Hematopoiesis,negative
Vindico Medical Education,positive
Patient Power,negative
𝗡𝗶𝗵𝗮𝗿 𝗗𝗲𝘀𝗮𝗶 𝗠𝗗🩸,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
OncLive.com,positive
Lorna Warwick,negative
Michele Nadeem-Baker,positive
Cord Blood News,negative
Michele Nadeem-Baker,positive
Michael Hallek,positive
Medivizor,negative
Michele Nadeem-Baker,negative
Toby Eyre,negative
Kathleen Ebert,positive
Medivizor,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Kathleen D. Hoffman,negative
Journal of the @NCCN,positive
GeneOnline,negative
Medscape Education,negative
gerry melino,negative
"Raul Cordoba, MD, PhD",negative
Biotech2050,positive
Oncology Learning Network,negative
F. Hernandez Mohedo,negative
MitochondriaNews,negative
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
Lymphoma Hub,negative
Kompetenznetz Maligne Lymphome e.V.,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,positive
CLL Advocates Network,negative
OncLive.com,negative
Journal of Osteopathic Medicine,negative
Paradigm Med Comm,negative
Benlazar S.M Aminé,negative
Blood Journal,negative
Bionest Partners,negative
StemExpress,negative
Oncology Tube,negative
ECOG-ACRIN Cancer Research Group,negative
Medivizor,negative
RedMedEd,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Michael Rynne,positive
Leukaemia Care,positive
Medivizor,negative
PressReleasePoint,negative
Leukemia Research Foundation,positive
BioSpace,negative
Company News HQ,negative
CellworksLife,negative
"Erin Hickey, PharmD, BCOP",negative
Cancers MDPI,negative
Adam Kittai,positive
Headwaters Communications,negative
BioCalifornia,negative
JanssenUS,positive
CLLSA,negative
Big4Bio:Philly,positive
Mayo Clinic Cancer Center,negative
Edsel Talbert,negative
SeqComplete,negative
Medivizor,negative
The Oncologist,negative
"Thomas LeBlanc, MD, MA, MHS, FAAHPM",positive
Paperbirds_Hematology,negative
idw Nachrichten,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Michael Rynne,negative
VJHemOnc,negative
Dr. Baha Alrfaei د. بهاء,negative
Dr. Saadvik Raghuram y,negative
The Leukemia & Lymphoma Society,negative
Medivizor,negative
"Bichoy Gabra, R.Ph., Ph.D.",negative
BuxMont Forum,negative
Janssen Global,negative
NwokeAgulu,negative
Cure Cancer Now,negative
Society for Immunotherapy of Cancer,negative
Lymphoma Research Foundation,negative
Javid Moslehi,negative
